gene	HC1	HC2	HC3	HC4	M1	M2	M3	S1	S2	S3	S4	S5	S6
ARID4A	1233	791	1330	186	1833	1795	46	1119	2115	114	257	159	121
TOMM20L	2	0	4	0	1	0	0	0	1	0	0	0	0
TIMM9	1064	705	694	280	1647	1394	31	763	1718	58	253	137	152
KIAA0586	258	178	353	36	391	359	11	216	373	17	52	18	23
DACT1	4	7	13	0	3	4	0	9	12	0	0	0	0
DAAM1	370	206	440	86	313	388	11	497	723	43	102	25	63
GPR135	8	9	34	7	12	6	0	5	6	1	1	1	1
L3HYPDH	217	106	214	26	430	395	11	132	264	11	40	27	17
JKAMP	2268	1281	2433	333	1903	2117	61	1450	3121	92	357	222	207
CCDC175	2	2	1	2	1	0	0	1	1	0	0	0	0
RTN1	1054	583	1544	255	713	851	6	35	259	13	26	0	14
PCNX4	651	456	801	129	695	578	30	962	1188	82	231	128	111
DHRS7	4384	2916	2981	508	3561	5074	210	3310	5978	357	771	642	345
PPM1A	797	515	927	158	678	713	34	937	1917	111	226	163	93
SIX1	2	2	1	27	9	1	0	8	21	0	1	1	2
SIX4	1	0	0	13	1	2	1	4	8	2	1	0	0
MNAT1	487	245	340	68	583	541	14	273	680	23	76	56	67
TRMT5	239	146	275	40	456	451	12	350	843	79	104	81	67
SLC38A6	1974	1046	2200	308	3105	2567	75	1970	4133	229	727	309	293
PRKCH	461	307	569	70	755	772	25	219	483	55	82	41	32
AL359220.1	34	24	37	4	26	17	0	5	5	5	2	0	1
LINC01303	3	0	2	0	21	27	0	43	245	12	26	14	8
AL355916.1	9	7	9	1	10	7	0	9	22	2	3	0	0
HIF1A	1265	1052	1412	238	4523	3633	254	10820	30219	1630	3135	1567	964
HIF1A-AS2	32	32	20	3	173	114	15	120	640	569	116	35	38
SNAPC1	250	172	320	72	593	414	11	340	1011	468	168	78	88
PPP2R5E	1151	661	1383	206	1752	1674	41	1331	2613	103	318	165	176
AL136038.3	11	9	6	1	23	20	0	10	82	0	2	3	9
WDR89	151	115	184	26	240	248	5	93	217	10	19	17	20
SGPP1	1417	695	1917	208	1769	1554	47	609	818	62	139	51	56
SYNE2	58	13	19	52	72	65	4	258	281	16	12	21	40
ESR2	0	0	2	0	1	1	0	0	1	0	0	0	0
AL161756.1	10	0	15	0	12	11	0	2	3	0	0	0	2
MTHFD1	829	444	654	182	1514	1823	43	400	1215	28	93	24	43
AL122035.2	5	4	16	0	4	4	0	3	8	0	1	0	1
ZBTB25	323	206	394	73	495	520	25	315	715	62	66	56	49
AKAP5	494	281	621	95	563	604	3	6	16	0	0	1	5
ZBTB1	703	377	999	208	1147	1430	38	956	1977	101	195	106	103
HSPA2	27	7	22	17	77	34	11	123	215	16	26	11	18
PPP1R36	17	7	9	16	23	20	1	13	7	3	6	2	3
PLEKHG3	189	85	172	40	558	397	9	72	366	19	15	4	4
CHURC1	8084	4770	5313	795	5318	4884	190	4232	5707	461	658	501	534
GPX2	0	0	0	13	0	1	0	8	12	2	7	0	0
RAB15	3	3	1	0	2	5	0	6	4	2	1	3	0
FNTB	79	45	96	17	202	165	0	80	142	11	26	17	10
MAX	1484	710	957	420	4863	3630	103	2644	7405	354	1070	629	342
FUT8	223	124	165	24	262	252	5	281	347	16	61	24	24
FUT8-AS1	11	8	6	5	29	33	0	12	28	1	1	3	0
AL359232.1	37	17	16	1	9	11	0	3	4	0	2	1	1
GPHN	105	67	124	16	260	274	1	113	270	18	32	10	20
FAM71D	77	34	63	15	9	8	0	23	16	5	2	2	3
MPP5	186	101	150	35	326	280	7	289	783	48	75	74	35
ATP6V1D	2994	1592	2545	522	2605	3039	139	3433	7413	316	760	449	551
EIF2S1	1064	565	1300	234	2507	2197	77	2237	4421	182	455	430	339
PLEK2	75	11	88	10	127	140	12	53	126	21	67	8	15
TMEM229B	132	28	76	16	722	760	22	507	1009	33	93	64	25
PLEKHH1	6	3	11	3	76	54	2	33	77	16	12	12	5
PIGH	424	197	407	85	1271	1108	29	471	1028	49	159	112	65
ARG2	8	12	17	2	59	66	8	28	69	4	15	12	1
VTI1B	3975	1958	2558	882	6680	5477	211	3632	8896	301	1079	568	375
RDH11	1254	722	893	233	1493	1693	54	803	1758	85	243	104	103
RDH12	19	7	8	1	31	38	1	5	5	1	1	0	0
ZFYVE26	754	424	759	142	2133	1874	93	1150	2709	165	317	198	92
RAD51B	152	86	233	22	476	389	15	171	230	10	24	31	27
AL121820.2	1	2	0	8	2	1	0	3	7	0	2	0	0
ZFP36L1	2504	1588	3005	499	5592	3514	259	14328	24474	1330	1880	2479	1719
ACTN1	4670	2362	4872	891	8298	7615	305	5603	12409	503	1614	642	1053
ACTN1-AS1	3	0	6	4	11	5	0	3	12	2	0	0	1
DCAF5	1009	497	1032	191	1603	1481	47	655	1552	87	192	107	58
AL391262.1	5	3	6	0	0	0	0	0	0	0	0	0	0
AL359317.2	3	3	2	1	4	3	0	1	0	0	0	0	0
EXD2	260	158	349	61	445	473	11	113	157	14	43	17	18
ERH	7213	3804	5556	1331	11095	10978	330	5683	10530	445	1233	1122	1166
SLC39A9	448	279	478	94	566	485	11	458	1057	46	143	55	76
PLEKHD1	3	2	3	0	2	0	0	4	6	0	0	2	1
SUSD6	1010	522	1042	186	1525	1349	41	2428	6811	399	457	198	295
SRSF5	4896	2886	5126	1056	6780	6452	222	5577	12953	581	1546	858	754
SMOC1	1	4	2	0	10	15	0	5	7	0	0	0	0
COX16	2002	1521	825	138	5038	4154	150	3935	7779	320	891	462	576
SYNJ2BP-COX16	19	16	11	3	55	32	4	49	38	6	10	15	13
SYNJ2BP	999	438	752	181	336	331	4	226	320	16	45	13	33
ADAM20	10	17	9	1	3	3	0	2	4	0	0	0	0
MED6	769	385	962	129	900	668	34	787	1172	87	139	182	117
TTC9	6	4	0	15	15	6	2	49	63	2	21	19	9
MAP3K9	14	6	2	1	18	17	2	32	53	7	7	9	6
AC004816.1	12	2	1	4	1	1	0	7	3	0	1	0	0
AC004816.2	45	13	11	0	16	6	0	70	271	10	17	6	20
AC004825.2	6	0	13	5	18	8	0	24	28	1	7	6	4
PCNX1	889	624	1117	166	2017	1419	53	2480	5610	252	444	190	397
AC004817.3	7	0	37	22	27	27	3	22	70	0	156	20	1
AC005476.2	2	0	5	3	4	4	0	9	3	3	1	6	2
SIPA1L1	170	79	294	53	577	532	39	1229	2169	151	448	224	211
DPF3	18	4	9	1	14	17	0	1	8	0	0	0	1
DCAF4	111	57	87	25	103	132	3	54	99	1	12	2	6
ZFYVE1	220	82	202	33	383	315	12	278	658	39	66	36	34
AL442663.3	10	3	7	4	20	16	1	14	45	1	2	2	5
RBM25	3675	2363	4456	478	4674	4095	142	4533	9324	506	921	571	536
PSEN1	1220	771	1739	139	2382	2099	94	2407	4844	303	615	285	348
PAPLN	15	23	75	6	46	30	1	54	64	30	27	5	11
AC004846.1	24	13	16	5	70	48	2	50	54	19	9	5	7
AC004846.2	17	4	27	5	20	12	0	73	77	6	9	5	14
NUMB	1593	884	2268	252	2749	2288	79	2952	7449	553	849	234	735
AC005280.2	198	161	105	8	227	203	7	350	1516	96	193	7	246
HEATR4	3	0	4	1	0	2	0	1	3	0	1	0	0
RIOX1	250	156	228	62	326	330	9	277	763	23	90	41	53
ACOT1	9	387	4	0	163	145	12	53	117	3	39	13	4
ACOT2	2753	2059	1385	264	3675	4824	136	712	1163	87	328	108	94
ACOT4	1267	786	678	268	1225	1711	37	200	380	15	134	29	40
AC005225.2	61	41	28	27	70	64	4	9	48	3	10	0	5
DNAL1	280	159	192	84	242	240	6	135	128	13	38	14	28
PNMA1	240	156	274	105	457	495	21	532	1203	52	179	70	93
ELMSAN1	1152	586	1141	135	792	567	23	400	1193	65	158	101	104
AC005520.2	28	15	16	1	137	94	3	23	60	0	7	9	6
PTGR2	253	230	325	47	316	376	9	113	249	13	21	15	8
ZNF410	36	17	72	6	564	403	11	243	683	42	108	73	61
AC005480.1	5	0	16	0	4	4	0	0	2	2	0	0	1
FAM161B	65	38	37	5	132	107	1	49	59	5	8	8	1
COQ6	346	206	261	72	640	693	10	282	413	16	44	40	26
ENTPD5	259	225	311	44	668	585	20	360	966	30	85	47	34
BBOF1	114	101	41	43	80	75	1	54	47	9	8	2	6
ALDH6A1	325	166	380	43	325	352	16	202	323	18	57	32	21
LIN52	127	71	152	22	437	348	16	715	958	111	98	168	72
ABCD4	384	205	370	100	607	670	11	412	821	63	142	78	58
NPC2	46004	27519	23868	6693	37933	33690	1418	40486	88927	4899	10430	7168	5562
ISCA2	833	499	817	210	2132	1747	65	1966	3912	104	417	374	243
AREL1	274	158	233	54	442	412	16	504	1022	58	121	56	57
FCF1	1964	2034	526	103	717	598	18	483	886	62	97	70	77
YLPM1	381	205	569	78	951	854	15	524	948	56	119	60	66
PROX2	11	11	11	3	28	20	0	1	0	0	0	0	0
DLST	516	318	381	122	958	1001	28	611	1562	82	215	113	129
RPS6KL1	66	33	77	32	61	67	2	10	20	0	6	1	4
PGF	5	6	9	0	8	7	0	17	61	6	2	14	2
EIF2B2	422	204	330	91	825	719	30	628	1215	50	154	150	134
AL049780.1	11	4	2	0	4	0	0	0	8	0	0	3	1
MLH3	245	183	411	47	266	329	11	218	295	21	39	29	26
ACYP1	529	241	483	103	367	491	19	480	1191	85	84	56	47
ZC2HC1C	19	6	21	13	19	31	1	21	27	7	4	5	3
NEK9	634	371	661	112	1150	1099	24	518	1207	62	136	88	72
TMED10	8018	3874	8395	1535	12737	13478	441	6327	11754	555	2070	1873	908
AL691403.2	5	0	42	0	5	3	0	15	33	1	8	7	5
FOS	5532	2331	41812	2323	17132	10159	835	41348	112412	2598	15624	12095	728
LINC01220	19	7	27	6	41	26	0	40	197	4	29	47	17
AF111167.2	32	14	32	9	66	65	1	33	82	2	15	24	8
JDP2	435	196	568	91	504	404	12	410	843	44	108	190	62
BATF	269	100	75	44	1134	502	36	886	3354	187	400	163	364
AC007182.1	47	11	29	6	23	19	0	12	51	1	5	7	4
FLVCR2	1484	548	1660	282	2601	2497	44	1571	3153	86	368	292	248
TTLL5	133	82	267	43	217	189	6	193	370	21	51	27	23
ERG28	535	408	291	230	828	827	32	146	412	16	128	11	33
IFT43	902	442	347	225	1092	1186	40	352	673	35	104	34	49
TGFB3	3	4	4	1	15	11	2	3	15	2	0	0	1
GPATCH2L	1071	713	1383	139	1114	1197	46	1323	3497	225	325	164	216
AC008050.1	3	0	1	0	21	22	0	0	10	0	0	0	0
VASH1	1189	508	1139	250	1693	1207	34	643	1243	64	193	4	42
VASH1-AS1	218	186	184	41	181	195	7	125	215	11	25	5	12
ANGEL1	360	274	358	75	804	752	21	310	669	37	65	10	27
LRRC74A	3	8	3	1	18	15	0	4	6	0	0	0	0
IRF2BPL	1603	506	975	154	1260	896	40	1699	3749	129	468	231	250
AC007686.3	98	51	49	12	28	25	0	49	119	6	18	34	24
LINC02288	4	0	1	1	0	1	0	1	1	1	0	2	0
LINC02289	9	0	0	0	13	6	0	0	2	1	0	2	0
CIPC	432	336	549	95	445	312	7	276	448	29	92	31	38
POMT2	60	34	66	20	161	140	2	98	237	15	51	12	10
GSTZ1	510	274	522	140	1039	913	34	299	782	27	110	42	57
TMED8	431	282	577	70	525	413	22	290	1022	54	61	24	24
SAMD15	5	3	10	4	5	7	0	10	27	14	1	1	0
VIPAS39	284	151	332	53	561	541	12	303	687	34	80	57	48
AHSA1	1498	724	1169	351	2490	2436	114	1765	6797	333	483	696	304
SPTLC2	555	319	659	132	2758	2395	79	3208	10039	313	1005	550	188
ALKBH1	141	85	183	26	384	326	9	276	693	46	59	38	41
SLIRP	13100	7001	2732	1362	12038	10696	318	6003	16997	587	1720	1288	1095
SNW1	1691	945	1378	277	3894	3123	111	3420	5061	348	460	412	266
ADCK1	152	75	147	29	266	276	7	143	235	17	42	22	7
CEP128	57	39	84	20	140	118	2	54	69	8	11	4	14
AC007262.2	10	14	13	1	61	36	1	22	31	5	6	0	1
GTF2A1	615	340	852	92	675	650	15	929	2226	121	170	130	166
AL136040.1	9	7	21	6	25	12	0	19	54	5	6	16	16
STON2	85	120	37	4	181	181	6	127	179	6	17	36	10
SEL1L	2500	1773	3616	351	3763	3472	85	1691	3641	161	437	197	343
FLRT2	3	2	11	0	8	2	0	16	21	6	14	15	11
LINC02328	104	119	95	4	197	159	3	66	193	6	14	8	11
AL359237.1	4	4	9	0	33	38	0	0	4	0	0	0	0
GALC	2291	1243	1652	221	1808	1487	27	747	1568	77	164	124	88
GPR65	4167	1952	3458	369	6140	3375	62	1836	3209	109	404	331	399
AL157955.1	4	7	2	0	6	0	0	0	0	0	0	0	0
AL157955.2	2	0	0	0	5	5	0	0	0	0	0	0	0
LINC01146	153	45	91	5	623	279	4	87	124	4	10	3	5
AL133279.1	71	11	4	0	23	12	0	0	1	0	0	0	0
SPATA7	162	74	100	32	181	176	7	33	53	8	19	2	3
PTPN21	3	5	5	6	9	7	0	4	0	0	3	0	1
ZC3H14	551	304	598	110	868	879	20	345	618	34	117	42	39
EML5	3	0	5	0	2	4	0	7	4	0	1	1	0
TTC8	226	135	217	54	249	439	14	57	67	2	24	2	9
FOXN3	1331	911	1969	309	1754	1695	53	1863	3962	210	486	153	152
AL357093.2	1	17	4	107	10	12	2	94	25	5	7	0	1
FOXN3-AS1	124	85	149	15	99	83	6	142	278	14	27	7	22
EFCAB11	196	126	135	48	432	427	5	160	209	10	23	22	17
TDP1	174	105	141	57	361	342	7	163	488	19	66	23	20
KCNK13	12	6	43	12	39	26	2	25	243	14	41	19	43
PSMC1	3328	2201	1825	510	4188	4081	152	3722	6883	316	991	744	524
NRDE2	726	466	527	86	555	640	22	480	828	47	103	36	50
AL512791.2	3	5	6	2	8	8	0	19	178	1	29	15	15
CALM1	19026	9002	17138	3383	24361	33291	1544	59153	98412	3443	12343	18684	5924
TTC7B	377	250	422	67	506	565	25	491	750	50	148	47	44
RPS6KA5	812	583	1119	109	813	961	12	287	490	27	45	14	17
DGLUCY	873	458	1075	243	2249	2097	45	672	1844	91	217	107	70
GPR68	2	2	10	1	8	3	0	5	14	0	0	2	51
CCDC88C	29	10	40	41	126	60	7	380	735	59	68	95	59
PPP4R3A	865	585	1627	152	1502	1334	51	2340	3949	185	379	334	262
TC2N	28	4	9	39	48	13	2	32	79	2	9	5	3
FBLN5	11	3	3	4	48	29	1	122	230	7	58	112	29
TRIP11	666	512	896	88	2088	1959	42	1437	2327	153	308	219	116
ATXN3	1326	797	1644	196	1570	1398	42	1409	2349	106	212	160	150
NDUFB1	38552	25650	11260	3091	17397	13551	654	11174	19471	808	1919	1170	1443
CPSF2	1053	633	1464	190	1335	1367	42	1241	2208	83	228	110	139
SLC24A4	436	438	561	31	336	105	0	51	143	4	35	9	12
RIN3	1640	841	1677	381	2617	2099	88	1295	2452	89	486	511	307
LGMN	1836	808	973	440	17474	14010	1697	40256	37223	3765	9937	4433	1795
GOLGA5	358	251	519	113	886	886	17	784	1723	62	224	162	107
ITPK1	1604	679	1020	408	2130	2322	62	983	2132	96	334	224	193
ITPK1-AS1	30	21	50	1	8	7	0	5	7	0	0	0	0
MOAP1	253	150	291	73	373	380	16	372	842	68	128	39	51
TMEM251	2261	1155	2433	628	2132	1975	108	2926	3885	463	681	529	370
GON7	734	393	774	320	1242	1219	26	806	1576	64	197	115	134
UBR7	217	121	190	46	526	476	18	367	676	48	68	58	45
BTBD7	614	346	746	118	550	473	16	575	1228	115	143	67	106
ASB2	4	5	5	0	18	30	0	9	15	0	6	0	8
OTUB2	66	18	72	20	64	109	2	74	116	15	47	17	14
DDX24	5778	3174	4196	589	8294	8681	362	5429	8124	555	652	751	459
IFI27L1	651	283	254	97	754	1083	33	560	860	65	124	145	65
IFI27	58658	11298	5989	18008	62954	190535	6730	278255	341863	15298	29761	52339	28292
IFI27L2	8821	4635	3855	1415	3523	3989	146	5731	14151	431	1172	838	879
SERPINA1	56952	24697	28071	10092	78268	108564	2223	28336	92743	1975	6864	2136	2378
SERPINA9	95	7	10	23	6	19	0	0	0	0	0	0	0
DICER1	1402	965	2282	239	2403	1979	72	2398	6728	340	594	173	396
DICER1-AS1	61	29	37	20	44	47	0	17	49	7	8	8	11
CLMN	704	464	610	201	1379	1267	29	615	1328	71	140	101	35
SYNE3	151	45	110	23	140	60	11	794	844	41	171	82	92
AL133467.1	10	10	6	6	26	1	0	95	75	2	6	22	24
SNHG10	118	84	73	32	170	142	2	109	170	17	15	11	26
GLRX5	1378	513	1293	409	895	876	34	573	1057	52	214	92	146
C14orf132	0	0	1	12	1	4	0	13	11	4	4	1	0
BDKRB2	1	0	0	8	0	0	0	3	4	1	0	0	1
ATG2B	232	123	232	42	251	239	7	187	310	15	50	20	24
GSKIP	792	388	723	170	659	554	19	341	690	44	70	49	90
AK7	5	3	2	37	6	6	0	13	4	0	0	1	2
AL163051.1	27	18	28	9	48	33	0	36	146	8	8	11	14
PAPOLA	3327	1877	3923	745	4379	3975	174	4401	11352	473	1165	655	651
AL137786.1	1	2	0	4	2	1	0	0	3	0	0	0	2
VRK1	409	251	330	69	491	536	10	177	294	20	39	34	50
LINC01550	11	3	7	0	12	5	0	9	26	0	2	0	0
BCL11B	71	12	20	1	25	20	0	54	81	0	1	6	7
SETD3	856	475	1040	233	1603	1559	55	982	2784	101	407	154	134
CCNK	882	766	868	114	3140	2248	82	1720	3962	180	490	352	231
CCDC85C	90	43	53	16	473	348	12	244	514	23	63	59	20
HHIPL1	13	0	0	0	0	27	0	1	0	1	1	0	0
EML1	0	1	1	12	1	7	0	4	3	1	1	0	1
EVL	8446	3552	14162	1386	9251	10799	188	2074	6873	93	742	156	198
AL157912.1	6	0	2	3	2	3	0	0	1	0	1	0	0
DEGS2	14	8	31	111	8	9	0	17	12	2	5	1	2
YY1	2717	1551	2958	547	3990	3769	92	2678	8034	347	641	387	262
SLC25A29	238	133	401	76	186	209	3	196	212	33	52	12	41
SLC25A47	3	0	0	0	0	0	0	0	0	0	0	0	0
WARS	3432	1663	3043	720	8772	11947	672	13189	84447	1502	5299	1789	2620
WDR25	183	59	138	37	387	404	5	172	376	26	47	31	32
BEGAIN	17	12	21	3	67	34	0	39	4	1	1	1	0
LINC02285	107	29	42	15	118	118	0	34	76	0	7	12	5
LINC00239	633	259	275	56	99	144	0	8	29	0	1	2	2
PPP2R5C	2742	1220	2835	415	1719	1682	56	1980	3790	196	519	374	246
AL137779.2	2	0	0	0	61	41	0	3	6	0	0	1	1
AL137779.1	3	0	30	0	0	0	0	0	0	0	0	0	0
AL118558.3	80	47	74	12	209	154	4	161	496	25	40	41	24
AL118558.4	11	12	23	5	8	7	0	5	9	2	1	1	1
DYNC1H1	1802	940	2358	333	4014	3709	162	4522	10944	540	1340	549	783
HSP90AA1	29354	21020	32170	5515	35084	45981	1973	47977	180157	10256	8584	10463	8156
WDR20	294	118	310	63	472	435	12	349	859	57	103	56	60
MOK	75	40	41	49	166	85	2	64	85	15	14	4	6
ZNF839	109	67	112	33	135	181	2	55	99	8	17	10	11
CINP	1433	908	985	168	2244	1782	68	1247	2684	126	280	199	209
TECPR2	101	63	143	22	382	332	14	206	443	62	64	24	14
ANKRD9	203	63	174	109	358	337	28	610	1157	116	190	225	56
RCOR1	824	477	1319	137	1234	1214	37	749	2189	99	248	89	113
TRAF3	321	177	187	83	651	460	25	565	2168	165	207	101	120
AMN	2	0	4	10	13	3	0	8	20	2	3	3	2
CDC42BPB	1076	577	967	266	1864	1918	34	569	1026	67	198	76	98
LBHD2	90	92	54	4	27	22	0	2	10	0	0	0	0
EXOC3L4	21	28	17	15	116	98	2	20	36	2	3	1	3
TNFAIP2	3374	2032	4050	707	6968	5067	267	3802	17789	1494	995	474	818
AL138976.2	6	2	12	2	3	0	0	10	14	1	0	0	3
EIF5	3939	2406	3799	1162	7782	8123	163	6635	13675	848	1663	1184	1350
MARK3	887	479	969	211	1654	1366	49	1664	4313	300	400	295	213
CKB	57	9	21	301	97	69	11	272	325	190	20	46	27
AL133367.1	12	13	12	0	29	27	0	14	17	1	3	2	0
TRMT61A	238	126	302	67	516	415	8	278	644	26	119	55	61
BAG5	908	571	991	136	918	914	29	766	1412	45	136	59	101
KLC1	667	312	745	106	824	710	43	835	2046	143	256	169	175
APOPT1	1615	875	1145	361	524	502	19	602	1284	56	146	109	103
AL049840.1	43	14	152	5	2	6	0	5	12	2	0	0	0
AL049840.2	7	8	11	0	4	7	0	4	2	0	0	0	1
XRCC3	32	19	48	8	96	68	3	44	52	2	15	10	4
ZFYVE21	1310	634	976	362	1295	1493	46	608	1357	55	171	111	92
PPP1R13B	60	36	118	13	100	103	1	21	67	4	10	2	2
ATP5MPL	28279	20083	13469	3496	13674	13999	355	11897	26282	935	2600	1463	1915
TDRD9	62	71	136	2	77	249	7	49	243	21	29	16	8
INF2	889	393	1024	177	1601	1357	66	1330	2645	185	410	241	200
ADSSL1	39	61	11	18	84	55	2	32	60	6	9	8	2
SIVA1	4468	2373	1965	1026	5546	4626	125	1744	3735	177	584	349	391
AKT1	761	358	867	219	1512	1300	57	932	2134	156	291	182	122
ZBTB42	58	29	60	34	191	149	7	130	296	9	28	15	11
LINC00638	2	3	23	2	6	8	0	0	5	0	0	0	0
AL583810.1	1	0	1	0	2	0	0	0	0	2	0	0	0
CEP170B	89	31	43	33	136	148	4	104	150	9	35	22	14
PLD4	13	2	50	17	368	95	29	191	61	42	144	15	13
AHNAK2	2	6	5	7	6	5	0	65	58	2	49	2	13
CLBA1	38	25	39	29	66	75	1	23	40	2	7	3	6
CDCA4	134	82	175	32	221	206	16	256	504	35	93	60	56
GPR132	23	3	49	15	136	81	7	546	1177	167	112	138	61
LINC02298	2	0	4	3	0	0	0	3	1	0	1	0	1
JAG2	6	8	13	7	5	8	0	9	28	2	1	1	2
NUDT14	1309	321	1166	292	1177	2016	46	1626	4624	231	587	306	99
BRF1	156	71	173	39	330	301	8	156	432	26	76	39	28
BTBD6	367	161	438	62	337	380	17	362	679	30	104	45	54
PACS2	518	284	653	144	759	711	31	728	1013	67	170	94	46
TEX22	8	5	18	6	11	39	0	19	27	0	4	1	0
AL928654.1	16	5	5	1	12	11	1	4	9	0	1	1	3
MTA1	222	126	272	97	501	444	13	342	777	32	143	77	57
CRIP2	66	6	29	127	19	35	3	877	265	12	143	25	87
CRIP1	99806	27501	8863	9642	6359	7687	819	8750	4372	271	948	451	772
TEDC1	291	111	197	82	282	289	15	295	482	25	86	54	55
TMEM121	4	0	1	9	3	0	0	3	2	0	0	1	0
IGHA2	1	0	2	0	0	0	0	3	9	0	0	0	3
IGHA1	8	10	5	1	0	1	0	279	618	0	3	0	592
IGHM	4	0	2	2	3	7	0	1020	808	10	0	0	724
FAM30A	0	0	0	0	0	1	0	3	7	0	0	0	0
AC012414.5	5	3	20	1	3	13	0	0	6	0	0	0	0
AC068446.2	9	10	17	3	1	7	1	2	10	0	0	0	0
NIPA1	101	81	90	27	152	162	8	204	315	14	33	19	17
NIPA2	1121	580	1028	298	1871	1872	62	1772	5024	119	593	194	196
CYFIP1	1424	873	1824	334	2087	2089	98	2463	8246	396	795	314	447
TUBGCP5	183	128	234	24	237	246	5	92	147	12	31	4	15
NDN	72	42	56	21	142	81	3	19	43	0	27	9	4
SNRPN	1844	968	795	500	1350	976	71	191	375	41	159	42	40
SNURF	37	33	14	2	106	77	4	9	20	0	4	2	2
AC124312.1	23	13	44	2	30	30	0	6	10	0	1	1	1
PWAR6	61	57	88	17	25	24	0	6	8	2	3	0	1
UBE3A	1003	755	1311	228	2995	2361	95	3123	7522	265	747	334	384
ATP10A	2114	1070	1071	172	1099	1286	36	887	1721	61	252	112	80
LINC02346	6	0	4	2	0	7	0	0	0	0	0	0	0
HERC2	737	384	560	95	1378	1331	37	701	1165	92	202	100	74
APBA2	8	0	1	1	6	5	2	5	16	1	0	0	2
NSMCE3	552	245	604	139	605	657	17	498	721	49	147	73	56
TJP1	137	89	57	38	174	169	5	47	64	5	15	8	14
CHRFAM7A	10	14	15	1	285	180	6	109	190	14	56	19	18
GOLGA8R	19	12	47	2	12	17	0	8	16	2	0	0	0
AC026150.1	3	0	4	0	8	7	0	3	3	0	0	0	0
GOLGA8Q	16	12	8	0	7	13	2	25	19	3	0	0	2
AC091057.3	14	15	39	2	113	85	4	69	100	7	19	15	10
AC091057.2	2	6	8	0	61	53	3	14	41	2	2	2	2
ARHGAP11B	34	9	35	16	20	19	0	20	45	3	7	2	3
AC091057.6	21	6	11	2	28	29	3	15	33	5	4	3	3
AC091057.4	9	1	9	0	3	6	0	3	11	3	0	1	0
FAN1	150	102	142	27	304	294	7	57	126	8	33	3	13
MTMR10	402	222	662	78	653	660	21	596	1314	57	135	76	82
TRPM1	6	0	3	0	10	11	0	0	2	0	0	0	0
LINC02352	99	100	61	7	73	63	0	29	68	8	5	6	7
KLF13	929	495	653	160	1028	891	29	1315	2372	90	291	137	213
OTUD7A	11	4	5	0	23	25	0	9	21	2	2	2	3
LINC02256	471	301	253	40	2004	1452	41	559	1209	67	125	63	46
AC123768.4	17	14	40	0	7	10	1	6	11	2	2	0	0
AC123768.3	15	10	13	1	56	47	1	11	35	1	5	1	2
GOLGA8N	86	69	127	4	118	76	0	84	103	9	18	9	4
AC123768.2	12	0	2	0	14	11	0	3	28	0	5	2	3
ARHGAP11A	39	28	59	12	68	68	5	47	124	7	16	3	19
FMN1	35	42	81	16	362	318	8	898	2237	187	234	308	94
RYR3	0	0	1	5	1	1	0	2	0	0	0	0	0
AC010809.2	9	8	17	3	4	1	0	4	11	0	1	0	3
AC010809.1	3	2	2	0	0	0	0	0	5	2	2	0	1
AVEN	88	22	93	25	56	72	4	113	203	6	28	16	16
EMC7	4149	2011	2368	644	4712	6018	226	3792	7108	327	859	890	554
PGBD4	38	29	47	10	54	43	1	59	89	1	8	4	3
KATNBL1	875	494	980	232	1539	1430	41	1003	2391	154	321	120	103
EMC4	2719	1382	1281	555	4551	4438	139	2064	5567	212	765	489	377
SLC12A6	1790	1105	2093	206	1069	1209	29	1223	2225	161	293	82	209
NOP10	31345	14471	17853	5619	22136	22302	747	35633	55736	3707	7419	4453	3974
LPCAT4	288	128	250	66	562	725	14	416	1036	50	152	42	51
GOLGA8A	105	68	145	25	83	239	4	161	146	1	18	2	10
GOLGA8B	170	135	212	14	328	239	9	28	134	6	11	16	10
AQR	573	342	776	96	740	705	21	777	1313	73	155	91	101
ZNF770	606	441	670	108	995	815	11	359	832	33	95	33	52
DPH6	327	154	340	47	473	495	13	217	299	21	64	24	31
DPH6-DT	5	4	2	2	20	34	0	4	7	0	2	0	1
C15orf41	59	36	77	15	143	127	4	35	57	5	15	1	2
MEIS2	8	5	1	15	1	5	0	7	9	2	2	2	4
LINC02345	1389	335	1140	251	109	624	1	152	567	17	123	4	16
LINC01852	69	24	60	9	49	52	0	21	38	1	9	9	8
SPRED1	1376	604	1734	200	1000	1166	42	1303	2440	78	472	166	247
FAM98B	430	335	650	80	545	525	8	326	500	21	43	34	44
RASGRP1	71	17	93	8	35	50	0	54	127	6	6	7	7
C15orf53	16	2	1	0	0	0	0	3	15	0	0	0	1
AC013652.1	1	0	2	0	4	4	0	2	1	1	0	5	0
AC109630.1	9	4	2	0	76	58	0	7	53	0	14	39	0
THBS1	4016	222	36	453	732	1289	6	356	1957	303	646	4754	1998
FSIP1	14	14	6	10	21	15	0	4	10	4	1	1	4
AC023908.3	43	29	23	2	17	22	2	7	15	2	0	0	1
EIF2AK4	781	455	783	197	2049	2027	63	1339	2264	131	312	134	109
SRP14	43756	23229	18294	5593	32796	30865	1374	24110	44985	2005	4863	3487	2913
SRP14-AS1	124	90	144	31	353	234	6	188	406	22	47	21	11
BMF	199	170	81	52	640	620	28	252	606	52	74	47	18
BUB1B	12	6	6	0	9	8	0	1	12	2	3	2	5
